chr17	58005000	58006000	3
chr12	54281600	54282600	3
chrX	16882200	16883200	10
chr6	36597400	36598800	3
chr12	120497400	120497800	3
chr12	123585400	123585600	2
chr9	19378600	19379400	3
chr2	216499600	216500400	3
chrX	106726000	106726800	10
chr1	151400400	151400600	3
chr17	76734800	76736000	3
chr1	23692800	23693200	3
chr3	23918000	23919000	3
chr17	38851400	38852400	3
chr4	82427200	82428000	3
chrX	73849400	73852600	1
chr5	179619800	179621600	3
chrX	40145000	40146800	10
chrX	40048600	40050200	8
chr4	39457000	39457800	3
chr14	69768200	69768600	3
chr11	65502000	65504000	3
chrX	40094600	40095600	1
chr11	10806600	10807000	3
chr12	130872800	130873400	3
chrX	115968400	115969200	10
chr19	18573000	18573200	3
chr1	35190000	35190600	3
chr9	127449400	127450000	3
chrX	115560800	115562600	10
chrX	131741000	131742000	1
chr20	43459200	43459400	3
chr1	39574200	39574800	3
chr3	11582600	11583000	2
chr1	3797000	3797200	2
chr17	28721200	28721600	3
chr11	62854000	62855000	3
chr20	35739800	35740800	3
chr22	18730400	18730800	8
chrX	132488600	132489400	10
chr20	50959800	50960000	2
chr6	132815400	132816000	3
chr5	181241800	181242400	3
chr12	56644600	56644800	3
chr2	38749400	38749600	3
chrX	16711600	16713000	10
chrX	131704000	131705200	1
chr3	48989000	48989200	2
chrX	40052000	40053600	8
chr22	39317400	39318200	3
chr2	231462800	231463200	3
chr16	29975800	29976000	2
chrX	131728200	131729600	1
chr16	25112400	25112600	2
chr6	36596800	36597200	3
chr12	46369600	46370200	3
chr6	35732600	35732800	2
chr2	96209400	96209600	2
chr2	127884400	127884600	2
chrX	131822000	131822600	1
chr6	53060200	53060400	2
chr1	153991600	153991800	3
chrX	53223800	53224000	2
chr7	152026400	152026600	2
chr18	49491200	49491600	3
chr6	73519000	73519800	3
chr3	101685000	101685200	3
chr7	44883400	44884200	3
chr13	45339200	45340200	3
chr2	101003400	101003800	3
chr13	113207600	113207800	2
chr4	112514400	112514600	11
chr19	41861200	41861600	3
chr3	40458200	40458400	3
chr3	128490000	128490200	11
chr13	28531600	28532000	11
chr17	5182600	5183600	8
chr2	241703000	241703200	2
chr6	31836400	31837400	3
chr15	66503200	66503400	3
